npm WARN discord_bot@1.0.0 No repository field.

audited 445 packages in 3.523s

39 packages are looking for funding
  run `npm fund` for details

found 0 vulnerabilities

[DisTube] Downloaded youtube-dl 2021.06.06
this bot is online soup#9637! ID:- 727077691605647381
1)  server name :- Fantastical | server id :- 407860192005324811
2)  server name :- Gamers Club | server id :- 512128395094786059
3)  server name :- give me some sunshine, give me some rain | server id :- 567789813307015200
4)  server name :- DeterLatteBhaluPie | server id :- 700561561617694762
5)  server name :- Deebot's Hub | server id :- 710413124083253270
6)  server name :- Bot Test | server id :- 727081997490454550
7)  server name :- BHALU GANG BANG | server id :- 736123992724865084
8)  server name :- Random Shit | server id :- 754626495783239730
9)  server name :- Hitler's Lost SinS | server id :- 758322641744166933
10)  server name :- Respectfully's server | server id :- 854999893143322624
11)  server name :- Respectfully's server2 | server id :- 858277238344253441
server:-  Fantastical ; Respectfully :- *p https://www.youtube.com/playlist?list=PL12uE706Rd6KHyOIaiaeqltxmBuGoCSTk
server:-  Fantastical ; soup :- 
[33mWARNING:[0m ytdl-core is out of date! Update with "npm install ytdl-core@latest".
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *shuffle
server:-  Fantastical ; soup :- PlayList has been `SHUFFLED`
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; stoner face :- *play poker
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Anuuu :- *poker
server:-  Fantastical ; stoner face :- *pokernight
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; moksh jain :- *play ayaya 10hrs
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; moksh jain :- *stop
server:-  Fantastical ; soup :- 
server:-  Fantastical ; moksh jain :- *play ayaya 10hrs
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *p https://www.youtube.com/playlist?list=PL12uE706Rd6KHyOIaiaeqltxmBuGoCSTk
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *shuffle
server:-  Fantastical ; soup :- PlayList has been `SHUFFLED`
server:-  Fantastical ; Respectfully :- *skip
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *playskip sea shanty
server:-  Fantastical ; Respectfully :- *stop
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *p sea shanty
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *skip
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *skip
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Random Shit ; Respectfully :- *yt
server:-  Random Shit ; Respectfully :- *youtube
server:-  Random Shit ; soup :- 
server:-  Random Shit ; Anuuu :- *pokerknight
server:-  Random Shit ; Anuuu :- *pokernight
server:-  Random Shit ; soup :- 
server:-  Fantastical ; Respectfully :- *p wallerman
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *volume 100
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *skip
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *p arcade
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *skip
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *p charas ganja
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; Respectfully :- *autoplay off
server:-  Fantastical ; soup :- Set autoplay mode to `Off`
server:-  Fantastical ; stoner face :- *pokernight
server:-  Fantastical ; soup :- 
server:-  Fantastical ; moksh jain :- *play https://www.youtube.com/watch?v=ZtF830E3f98
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; soup :- 
server:-  Fantastical ; stoner face :- *help
